seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
728,ketoBig,6453,46,16,budget,0,93,true,4,540,121,197,0.15217391304347827,0.5869565217391305,0.21739130434782608,0.043478260869565216,0,13,1,normal,false,4,19,168,3150,2640,495,0,true,false,false,0,0,6453,46,0,
729,ketoBig,3002,30,0,budget,0,64,true,3,390,68,126,0.3333333333333333,0.6666666666666666,0,0,0,3,14,crash,false,3,15,382,2620,0,0,0,false,false,true,0,0,3002,30,0,
730,ketoBig,4780,38,8,budget,0,80,true,3,705,90,154,0.13157894736842105,0.8157894736842105,0.05263157894736842,0,0,8,7,crash,false,7,17,150,3640,990,0,0,false,false,false,0,0,4780,38,0,
731,ketoBig,4864,34,4,budget,0,93,true,3,1095,89,159,0.4411764705882353,0.4411764705882353,0.11764705882352941,0,0,4,4,crash,false,6,11,689,2240,900,1035,0,true,false,false,0,0,4864,34,0,
732,ketoBig,5240,30,0,budget,0,69,true,5,695,90,166,0.06666666666666667,0.9333333333333333,0,0,0,2,25,normal,false,3,18,155,5085,0,0,0,false,false,true,0,0,5240,30,0,
733,ketoBig,4365,36,6,budget,0,83,false,6,1090,103,132,0,0.9444444444444444,0.05555555555555555,0,0,3,29,normal,false,3,15,0,4185,180,0,0,false,false,false,0,0,4365,36,0,
734,ketoBig,4053,34,4,budget,0,76,true,4,475,91,157,0.29411764705882354,0.6764705882352942,0.029411764705882353,0,0,5,2,crash,false,5,13,593,3190,270,0,0,false,false,false,0,0,4053,34,0,
735,ketoBig,9874,36,6,budget,0,99,true,7,3465,95,204,0.2222222222222222,0.6944444444444444,0.05555555555555555,0.027777777777777776,0,5,1,normal,false,7,13,334,4335,1740,3465,0,true,true,true,0,0,9874,36,0,
736,ketoBig,18828,84,54,budget,2,100,true,6,5440,212,288,0.03571428571428571,0.5595238095238095,0.25,0.03571428571428571,0.11904761904761904,22,3,normal,false,11,39,68,4135,4600,3525,6500,false,false,true,7310,10,11518,74,2,2|4
737,ketoBig,9559,39,9,budget,1,100,true,7,3120,113,177,0.2564102564102564,0.5128205128205128,0.07692307692307693,0.02564102564102564,0.1282051282051282,6,2,crash,false,8,16,649,3060,840,90,4920,false,false,false,4770,5,4789,34,1,4
738,ketoBig,3703,34,4,budget,0,83,true,4,555,76,125,0.08823529411764706,0.8529411764705882,0.058823529411764705,0,0,3,4,crash,false,5,14,98,3395,210,0,0,false,false,false,0,0,3703,34,0,
739,ketoBig,4185,30,0,budget,0,56,true,5,795,91,141,0.1,0.9,0,0,0,1,9,normal,false,4,10,105,4080,0,0,0,false,false,false,0,0,4185,30,0,
