seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
1047,lookahead,4773,30,0,budget,0,52,true,8,1695,75,134,0.1,0.9,0,0,0,3,26,normal,false,3,12,128,4645,0,0,0,false,false,true,0,0,4773,30,0,
1048,lookahead,7756,42,12,budget,0,94,true,6,1160,120,186,0.11904761904761904,0.7380952380952381,0.11904761904761904,0.023809523809523808,0,7,18,normal,false,4,17,296,5750,540,1170,0,true,false,false,0,0,7756,42,0,
1049,lookahead,6100,36,6,budget,0,92,true,4,465,109,167,0.027777777777777776,0.8333333333333334,0.1111111111111111,0.027777777777777776,0,4,4,normal,false,3,19,215,5300,450,135,0,true,false,true,0,0,6100,36,0,
1050,lookahead,4718,30,0,budget,0,54,true,6,660,85,160,0.23333333333333334,0.7666666666666667,0,0,0,3,6,crash,false,7,11,1068,3650,0,0,0,false,false,false,0,0,4718,30,0,
1051,lookahead,4765,30,0,budget,0,52,true,4,660,84,140,0.26666666666666666,0.7333333333333333,0,0,0,4,14,normal,false,5,13,490,4275,0,0,0,false,false,true,0,0,4765,30,0,
1052,lookahead,21835,70,40,budget,2,100,true,5,2055,213,332,0,0.6285714285714286,0.17142857142857143,0.05714285714285714,0.14285714285714285,16,1,normal,false,14,37,40,5355,5490,3870,7080,false,false,true,7335,10,14500,60,2,4|4
1053,lookahead,40450,144,114,budget,4,100,false,5,2280,446,607,0,0.5902777777777778,0.19444444444444445,0.0763888888888889,0.1388888888888889,41,1,normal,false,6,79,0,10145,12530,3915,13860,false,true,false,10380,20,30070,124,4,2|8|5|3
1054,lookahead,4762,32,2,budget,0,74,true,5,630,88,140,0.15625,0.8125,0.03125,0,0,3,4,normal,false,4,12,377,4295,90,0,0,false,false,true,0,0,4762,32,0,
1055,lookahead,24060,95,65,budget,1,100,true,5,1700,292,417,0,0.6631578947368421,0.24210526315789474,0.042105263157894736,0.05263157894736842,25,1,normal,false,6,56,50,8695,10420,1035,3860,false,false,false,2250,5,21810,90,1,2
1056,lookahead,3147,30,0,budget,0,62,true,4,410,63,115,0.26666666666666666,0.7333333333333333,0,0,0,3,10,normal,false,5,9,352,2795,0,0,0,false,false,true,0,0,3147,30,0,
